question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"The angle between polariser and
analyser is \( 30^{\circ} \) The ratio of intensity of incident light and transmitted by the analyser is",3:04,4:03,\( \sqrt{3}: 2 \),\( 2: \sqrt{3} \),,Physics,Optics,3:04,1
"A sharp image of a distant object is obtained on a screen by using a convex lens. In order to determine the focal
length of the lens. you need to measure the distance between the",lens and the object,lens and the screen,object and the screen,lens and the screen and also object and the screen,,Physics,Optics,lens and the object,1
"If two mirrors are kept at \( 60^{0} \) to each other and a body is placed in the middle, then total number of images
formed is",Three,Four,Five,six,,Physics,Optics,Three,1
"The angle of reflection is given by the
angle :",NOQ,QOB,PON,AOP,,Physics,Optics,NOQ,1
Making a light wave vibrate in only one plane is known as:,refraction,reflection,Interference,"diffraction
E. polarization.",,Physics,Optics,refraction,1
"Assertion
The images formed by total internal reflections are much brighter than those formed by mirrors or lenses
Reason

There is no loss of intensity in total
internal reflection.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Optics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
80YATU in plane mirror appears as:,80YATU,80Yatu,UTAYO8,8оYАТบ,,Physics,Optics,80YATU,1
Which of the following colors of light has the lowest frequency?,Yellow,Violet,orange,"Blue
E. Green",,Physics,Optics,Yellow,1
"A boy of height \( 1.5 \mathrm{m} \) with his eye level at \( 1.4 \mathrm{m} \) stands before a plane mirror of length \( 0.75 \mathrm{m} \) fixed on the wall. The
height of the lower edge of the mirror above the floor is \( 0.8 \mathrm{m} \). Then :",the boy will see his full image,the boy can't see his hair,the boy can't see his feet,the boy can see neither his hair nor his feet,,Physics,Optics,the boy will see his full image,1
"When the height of the image is less than the height of the object, then magnification will be",Less than 1,Greater than 1,Equal to 1,zero,,Physics,Optics,Less than 1,1
The laws of reflection are true for,the plane mirror only,the concave mirror and convex mirror,the convex mirror only,all reflecting surfaces,,Physics,Optics,the plane mirror only,1
"statement 1: In Young's experiment, the fringe width for dark fingers is different from that for white fringes. statement 2: In Young's double slit experiment the fringes are performed with a source of white light, then only black and bright fringes are observed.",A. If both statement 1 and statement 2 are true but statement 2 is the correct explanation of statement,If both statement 1 and statement 2 are true but statement 2 is not the correct explanation statemen,If statement 1 is true but statement 2 is false,"If both the statement 1 and statement 2 are false
E. If statement 2 is true but statement 1 is false",,Physics,Optics,A. If both statement 1 and statement 2 are true but statement 2 is the correct explanation of statement,1
"If a mirror has a focal length of \( -20 \mathrm{cm} \)
it is a :",convex mirror,concave mirror,plane mirror,lens,,Physics,Optics,lens,4
